Nome,Número,Peso,Altura,Tipos,Habilidades,Habilidades Descrição,Habilidades URL,Url Pokémon,Evoluções,Evoluções Número,Evoluções URL
Bulbasaur,1,6.9 kg,70.0 cm,"Grass,Poison","Overgrow,Chlorophyll"," Powers up Grass-type moves in a pinch., Boosts the Pokémon's Speed in sunshine."," https://pokemondb.net/ability/overgrow, https://pokemondb.net/ability/chlorophyll",https://pokemondb.net/pokedex/bulbasaur,"Ivysaur,Venusaur"," #0002, #0003"," https://pokemondb.net/pokedex/ivysaur, https://pokemondb.net/pokedex/venusaur"
Pidgeot,18,39.5 kg,150.0 cm,"Normal,Flying","Keen Eye,Tangled Feet,Big Pecks,No Guard"," Prevents other Pokémon from lowering accuracy., Raises evasion if the Pokémon is confused., Protects the Pokémon from Defense-lowering attacks., Ensures attacks by or against the Pokémon land."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/tangled-feet, https://pokemondb.net/ability/big-pecks, https://pokemondb.net/ability/no-guard",https://pokemondb.net/pokedex/pidgeot,,,
Arbok,24,65.0 kg,350.0 cm,Poison,"Intimidate,Shed Skin,Unnerve"," Lowers the foe's Attack stat., The Pokémon may heal its own status problems., Makes the foe nervous and unable to eat Berries."," https://pokemondb.net/ability/intimidate, https://pokemondb.net/ability/shed-skin, https://pokemondb.net/ability/unnerve",https://pokemondb.net/pokedex/arbok,,,
Rattata,19,3.5 kg,30.0 cm,Normal,"Run Away,Guts,Hustle,Gluttony,Hustle,Thick Fat"," Enables a sure getaway from wild Pokémon., Boosts Attack if there is a status problem., Boosts the Attack stat, but lowers accuracy., Encourages the early use of a held Berry., Boosts the Attack stat, but lowers accuracy., Ups resistance to Fire- and Ice-type moves."," https://pokemondb.net/ability/run-away, https://pokemondb.net/ability/guts, https://pokemondb.net/ability/hustle, https://pokemondb.net/ability/gluttony, https://pokemondb.net/ability/hustle, https://pokemondb.net/ability/thick-fat",https://pokemondb.net/pokedex/rattata,Raticate, #0020," https://pokemondb.net/pokedex/raticate, https://pokemondb.net/pokedex/rattata, https://pokemondb.net/pokedex/raticate"
Spearow,21,2.0 kg,30.0 cm,"Normal,Flying","Keen Eye,Sniper"," Prevents other Pokémon from lowering accuracy., Powers up moves if they become critical hits."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/sniper",https://pokemondb.net/pokedex/spearow,Fearow, #0022, https://pokemondb.net/pokedex/fearow
Fearow,22,38.0 kg,120.0 cm,"Normal,Flying","Keen Eye,Sniper"," Prevents other Pokémon from lowering accuracy., Powers up moves if they become critical hits."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/sniper",https://pokemondb.net/pokedex/fearow,,,
Pikachu,25,6.0 kg,40.0 cm,Electric,"Static,Lightning Rod"," Contact with the Pokémon may cause paralysis., Draws in all Electric-type moves to up Sp. Attack."," https://pokemondb.net/ability/static, https://pokemondb.net/ability/lightning-rod",https://pokemondb.net/pokedex/pikachu,,,
Pidgeotto,17,30.0 kg,110.00000000000001 cm,"Normal,Flying","Keen Eye,Tangled Feet,Big Pecks"," Prevents other Pokémon from lowering accuracy., Raises evasion if the Pokémon is confused., Protects the Pokémon from Defense-lowering attacks."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/tangled-feet, https://pokemondb.net/ability/big-pecks",https://pokemondb.net/pokedex/pidgeotto,Pidgeot, #0018," https://pokemondb.net/pokedex/pidgeotto, https://pokemondb.net/pokedex/pidgeot"
Pidgey,16,1.8 kg,30.0 cm,"Normal,Flying","Keen Eye,Tangled Feet,Big Pecks"," Prevents other Pokémon from lowering accuracy., Raises evasion if the Pokémon is confused., Protects the Pokémon from Defense-lowering attacks."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/tangled-feet, https://pokemondb.net/ability/big-pecks",https://pokemondb.net/pokedex/pidgey,"Pidgeotto,Pidgeot"," #0017, #0018"," https://pokemondb.net/pokedex/pidgeotto, https://pokemondb.net/pokedex/pidgeot"
Beedrill,15,29.5 kg,100.0 cm,"Bug,Poison","Swarm,Sniper,Adaptability"," Powers up Bug-type moves in a pinch., Powers up moves if they become critical hits., Powers up moves of the same type."," https://pokemondb.net/ability/swarm, https://pokemondb.net/ability/sniper, https://pokemondb.net/ability/adaptability",https://pokemondb.net/pokedex/beedrill,,,
